company_top5,title,location,avg_experience,avg_base_salary
OTHERS,"SOFTWARE ENGINEER","Hamilton, NJ",7,220000
OTHERS,SALES,"Palo Alto, CA",16,220000
OTHERS,"HUMAN RESOURCES","Bentonville, AR",18,220000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Arlington, VA",17.75,219750
OTHERS,MARKETING,"San Jose, CA",18.733333333333334,219600
OTHERS,"SOFTWARE ENGINEERING MANAGER","Miami, FL",18,219500
OTHERS,"SOLUTION ARCHITECT","Palo Alto, CA",14.909090909090908,219454.54545454544
OTHERS,"SOFTWARE ENGINEERING MANAGER","Wellesley, MA",25,218000
OTHERS,"DATA SCIENTIST","Oakland, CA",10,218000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Sunnyvale, CA",14,217666.66666666666
OTHERS,"DATA SCIENTIST","San Mateo, CA",7.333333333333333,217333.33333333334
OTHERS,"TECHNICAL PROGRAM MANAGER","Geneva, GE, Switzerland",16,217000
GOOGLE,"DATA SCIENTIST","Kirkland, WA",12.333333333333334,216666.66666666666
OTHERS,"PRODUCT MANAGER","Sammamish, WA",25,216000
OTHERS,"BUSINESS ANALYST","Cambridge, MA",17,215000
APPLE,"HUMAN RESOURCES","San Jose, CA",15,215000
OTHERS,"SOLUTION ARCHITECT","Framingham, MA",19,215000
OTHERS,SALES,"Redlands, CA",22,215000
OTHERS,"SOLUTION ARCHITECT","Cincinnati, OH",13,215000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Natick, MA",23,215000
MICROSOFT,"SOLUTION ARCHITECT","Issaquah, WA",22,215000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Brampton, ON, Canada",15,215000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Mountain View, CA",13.404761904761905,214809.52380952382
OTHERS,"SOFTWARE ENGINEER","Los Altos, CA",9,214750
OTHERS,"SOLUTION ARCHITECT","Menlo Park, CA",9,214000
MICROSOFT,"DATA SCIENTIST","San Jose, CA",15,214000
OTHERS,"PRODUCT MANAGER","Belmont, CA",12,214000
GOOGLE,"SOFTWARE ENGINEER","Chapel Hill, NC",14.5,213500
OTHERS,"MANAGEMENT CONSULTANT","Hong Kong, HK, Hong Kong (SAR)",7.5,212500
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Sunnyvale, CA",12,212500
GOOGLE,"SOFTWARE ENGINEER","Raleigh, NC",17,212000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Palo Alto, CA",14.204545454545455,211931.81818181818
GOOGLE,"MANAGEMENT CONSULTANT","Mountain View, CA",12.2,211400
APPLE,"SOFTWARE ENGINEERING MANAGER","Santa Clara, CA",14.333333333333334,211000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Sunnyvale, CA",13.078947368421053,210473.68421052632
MICROSOFT,"DATA SCIENTIST","Berkeley, CA",3.6666666666666665,210333.33333333334
OTHERS,"SOFTWARE ENGINEERING MANAGER","New Brunswick, NJ",11,210000
OTHERS,"DATA SCIENTIST","La Jolla, CA",20,210000
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","San Diego, CA",16,210000
MICROSOFT,"MANAGEMENT CONSULTANT","Washington, DC",25,210000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Redwood City, CA",15,210000
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Reston, VA",18,210000
ORACLE,"PRODUCT MANAGER","Santa Clara, CA",19.5,210000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Arlington, TX",15,210000
OTHERS,"MANAGEMENT CONSULTANT","Alexandria, VA",15,210000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Alpharetta, GA",20,210000
OTHERS,"TECHNICAL PROGRAM MANAGER","Menomonie, WI",10,210000
