company_top5,avg_experience,avg_base_salary
APPLE,2.1982881597717547,137673.32382310985
GOOGLE,2.0217391304347827,124984.51086956522
AMAZON,2.072665847665848,114101.56633906634
MICROSOFT,1.8916009615384615,112129.20961538462
OTHERS,2.128129916420846,110179.65339233038
ORACLE,1.9742268041237114,107953.60824742269
