company_top5,title,avg_experience,avg_base_salary
APPLE,"DATA SCIENTIST",2.5555555555555554,154925.92592592593
GOOGLE,"DATA SCIENTIST",1.6153846153846154,131589.7435897436
AMAZON,"DATA SCIENTIST",2.4765625,125867.1875
MICROSOFT,"DATA SCIENTIST",1.7121495327102803,125130.84112149532
OTHERS,"DATA SCIENTIST",2.280314585319352,121131.55386081983
ORACLE,"DATA SCIENTIST",2.4166666666666665,107833.33333333333
